site,variable,rcp,p1_mean,p1_var,p2_mean,p2_var,p3_mean,p3_var,p4_mean,p4_var
Basin Head,MLD,7,-0.02,0.57,-0.29,0.68,-0.37,0.97,-0.53,1.17
Basin Head,MLD,8.5,-0.03,0.62,-0.31,0.88,-0.58,1.07,-0.84,1.22
Basin Head,Bspeed,2.6,0,0.003,0,0.004,-0.001,0.004,-0.001,0.005
Basin Head,Bspeed,4.5,0,0.002,0,0.004,-0.001,0.005,-0.001,0.005
Basin Head,Bspeed,7,0,0.002,-0.001,0.004,0,0.005,-0.001,0.005
Basin Head,Bspeed,8.5,0,0.003,-0.001,0.003,-0.002,0.004,-0.002,0.005
Banc-des-Americains,SST,2.6,1.15,0.51,1.74,0.7,1.97,0.86,2.07,0.93
Banc-des-Americains,SST,4.5,1.07,0.46,1.86,0.68,2.49,0.95,3.05,1.01
Banc-des-Americains,SST,7,1.03,0.53,1.89,0.77,2.93,0.95,4.1,1.18
Banc-des-Americains,SST,8.5,1.14,0.56,2.41,0.87,3.79,1.13,5.41,1.43
Banc-des-Americains,BT,2.6,1.23,1.18,2.3,1.55,2.64,1.7,2.9,1.85
Banc-des-Americains,BT,4.5,1.37,1.15,2.1,1.6,3.14,1.78,3.85,1.81
Banc-des-Americains,BT,7,1.21,1.22,2.2,1.49,3.2,1.55,4.23,1.7
Banc-des-Americains,BT,8.5,1.17,1.37,2.45,1.61,3.82,1.88,5.31,1.7
Banc-des-Americains,SSS,2.6,-0.31,0.46,-0.52,0.5,-0.61,0.55,-0.74,0.63
Banc-des-Americains,SSS,4.5,-0.25,0.4,-0.43,0.52,-0.72,0.6,-0.91,0.76
Banc-des-Americains,SSS,7,-0.33,0.42,-0.4,0.41,-0.75,0.72,-1.01,0.99
Banc-des-Americains,SSS,8.5,-0.34,0.41,-0.52,0.52,-0.96,0.8,-1.47,1.17
Banc-des-Americains,BS,2.6,-0.1,0.55,-0.03,0.37,-0.22,0.7,-0.16,0.64
Banc-des-Americains,BS,4.5,-0.04,0.38,-0.18,0.66,-0.24,0.73,-0.18,0.63
Banc-des-Americains,BS,7,-0.13,0.54,-0.13,0.68,-0.2,0.66,-0.28,0.73
Banc-des-Americains,BS,8.5,-0.2,0.52,-0.18,0.61,-0.25,0.72,-0.46,0.86
Banc-des-Americains,MLD,2.6,-0.35,0.68,-0.51,1.04,-0.45,1,-0.48,1.1
Banc-des-Americains,MLD,4.5,-0.37,0.67,-0.44,0.88,-0.55,1.1,-0.77,1.33
Banc-des-Americains,MLD,7,-0.34,0.69,-0.59,0.97,-0.92,1.27,-1.14,1.74
Banc-des-Americains,MLD,8.5,-0.28,0.75,-0.75,1.13,-1.06,1.57,-1.59,1.88
Banc-des-Americains,Bspeed,2.6,0,0.001,0,0.001,0,0.002,0.001,0.002
Banc-des-Americains,Bspeed,4.5,0,0.001,0,0.001,0,0.002,0,0.001
Banc-des-Americains,Bspeed,7,0,0.001,0,0.001,0,0.002,0,0.002
Banc-des-Americains,Bspeed,8.5,0,0.001,0,0.001,0,0.002,0,0.002
Musquash,SST,2.6,1.08,0.39,1.57,0.53,1.75,0.74,1.76,0.76
Musquash,SST,4.5,1.04,0.47,1.66,0.6,2.19,0.81,2.57,0.84
Musquash,SST,7,1.05,0.5,1.76,0.68,2.55,0.85,3.46,1.14
Musquash,SST,8.5,1.06,0.5,2.22,0.84,3.29,1.05,4.5,1.25
Musquash,BT,2.6,1.15,0.83,1.64,0.96,1.94,0.86,1.89,1.19
Musquash,BT,4.5,1.08,0.7,1.93,1.01,2.29,1.23,2.81,1.23
Musquash,BT,7,0.95,0.81,1.86,0.97,2.56,1.26,3.67,1.63
Musquash,BT,8.5,1.2,0.73,2.15,1.07,3.25,1.23,4.8,1.64
Musquash,SSS,2.6,-0.16,0.74,-0.4,0.8,-0.44,0.79,-0.56,0.81
Musquash,SSS,4.5,-0.1,0.76,-0.29,0.66,-0.59,0.98,-0.96,1.12
Musquash,SSS,7,-0.04,0.67,-0.4,1.29,-0.7,1.18,-1.06,1.72
Musquash,SSS,8.5,-0.18,0.73,-0.37,1.05,-1,1.59,-2.06,3.36
Musquash,BS,2.6,0.03,0.66,-0.02,0.85,-0.09,0.94,-0.26,1.19
Musquash,BS,4.5,0.08,0.75,0.1,0.68,-0.04,0.86,-0.28,1.16
Musquash,BS,7,0.08,0.76,-0.06,1.17,-0.19,1.04,-0.35,1.4
Musquash,BS,8.5,0.04,0.65,0,0.94,-0.2,1.28,-0.33,1.51
Musquash,MLD,2.6,-0.49,0.82,-0.69,0.82,-0.65,1,-0.74,1.15
Musquash,MLD,4.5,-0.46,0.8,-0.79,1.1,-1.03,1.2,-0.97,1.17
Musquash,MLD,7,-0.51,0.77,-0.87,1.22,-1.07,1.33,-1.21,1.73
Musquash,MLD,8.5,-0.59,0.87,-1.05,1.17,-1.42,1.36,-1.46,1.75
Musquash,Bspeed,2.6,0.002,0.003,0.003,0.005,0.003,0.005,0.004,0.006
Musquash,Bspeed,4.5,0.003,0.005,0.002,0.004,0.003,0.005,0.003,0.006
Musquash,Bspeed,7,0.003,0.004,0.003,0.004,0.003,0.005,0.004,0.007
Musquash,Bspeed,8.5,0.002,0.004,0.003,0.004,0.003,0.005,0.002,0.007
